Team,Twitter,Division,Conference
Boston Celtics,@celtics,Atlantic Division,EASTERN CONFERENCE
Brooklyn Nets,@BrooklynNets,Atlantic Division,EASTERN CONFERENCE
New York Knicks,@nyknicks,Atlantic Division,EASTERN CONFERENCE
Philadelphia 76ers,@Sixers,Atlantic Division,EASTERN CONFERENCE
Toronto Raptors,@raptors,Atlantic Division,EASTERN CONFERENCE
Chicago Bulls,@chicagobulls,Central Division,EASTERN CONFERENCE
Cleveland Cavaliers,@cavs,Central Division,EASTERN CONFERENCE
Detroit Pistons,@detroitpistons,Central Division,EASTERN CONFERENCE
Indiana Pacers,@Pacers,Central Division,EASTERN CONFERENCE
Milwaukee Bucks,@Bucks,Central Division,EASTERN CONFERENCE
Atlanta Hawks,@ATLHawks,Southeast Division,EASTERN CONFERENCE
Charlotte Hornets,@Hornets,Southeast Division,EASTERN CONFERENCE
Miami Heat,@MiamiHEAT,Southeast Division,EASTERN CONFERENCE
Orlando Magic,@orlando_magic,Southeast Division,EASTERN CONFERENCE
Washington Wizards,@WashWizards,Southeast Division,EASTERN CONFERENCE
Dallas Mavericks,@dallasmavs,Southwest Division,WESTERN CONFERENCE
Houston Rockets,@Rockets,Southwest Division,WESTERN CONFERENCE
Memphis Grizzlies,@memgrizz,Southwest Division,WESTERN CONFERENCE
New Orleans Pelicans,@PelicansNBA,Southwest Division,WESTERN CONFERENCE
San Antonio Spurs,@spurs,Southwest Division,WESTERN CONFERENCE
Denver Nuggets,@denvernuggets,Northwest Division,WESTERN CONFERENCE
Minnesota Timberwolves,@MNTimberwolves,Northwest Division,WESTERN CONFERENCE
Portland Trail Blazers,@pdxtrailblazers,Northwest Division,WESTERN CONFERENCE
Oklahoma City Thunder,@okcthunder,Northwest Division,WESTERN CONFERENCE
Utah Jazz,@utahjazz,Northwest Division,WESTERN CONFERENCE
Golden State Warriors,@warriors,Pacific Division,WESTERN CONFERENCE
Los Angeles Clippers,@LAClippers,Pacific Division,WESTERN CONFERENCE
Los Angeles Lakers,@lakers,Pacific Division,WESTERN CONFERENCE
Phoenix Suns,@Suns,Pacific Division,WESTERN CONFERENCE
Sacramento Kings,@sacramentokings,Pacific Division,WESTERN CONFERENCE
